TargetSchema,TargetObject,TargetObjectType,TargetColumn,TargetColumnType,SourceSchema,SourceObject,SourceObjectType,SubType,SubTypeName,SourceColumn,SourceColumnType,Involvment,InvolvmentType
eval,v_indicator_use,view,indicator,persistent,eval,v_indicator_use,view,query,d,indicator_id,temporary,selection,calculation
eval,v_indicator_use,view,indicator,persistent,eval,v_indicator_use,view,query,d,indicator_desc,temporary,selection,calculation
eval,v_indicator_use,view,time_type,persistent,eval,v_indicator_use,view,query,d,time_type,temporary,selection,plain
eval,v_indicator_use,view,calendar_year,persistent,eval,v_indicator_use,view,query,d,cy,temporary,selection,plain
eval,v_indicator_use,view,country,persistent,eval,v_indicator_use,view,query,d,client_id,temporary,selection,calculation
eval,v_indicator_use,view,country,persistent,p_lew_core,t_wawi_ref_country,table,,,country_iso_cd,persistent,selection,calculation
eval,v_indicator_use,view,organisation_type,persistent,eval,v_indicator_use,view,query,d,org_type_id,temporary,selection,calculation
eval,v_indicator_use,view,dummy_fg,persistent,eval,v_indicator_use,view,query,d,dummy_fg,temporary,selection,plain
eval,v_indicator_use,view,total,persistent,,,,,,,temporary,aggregation,count
eval,v_indicator_use,view,cnt,persistent,eval,v_indicator_use,view,query,d,kpges_fg,temporary,aggregation,sum
